Name,RegNr,Beschäftigte,Betrag,GeschäftsjahrStart,GeschäftsjahrEnde,Interessen,Tätigkeit,Ersteintrag,LetzteÄnd
EUTOP Europe GmbH (EUTOP),R002291,5,915000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Sonstiges im Bereich ""Innere Sicherheit""; Kultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Arbeitslosenversicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Öffentlicher Dienst und öffentliche Verwaltung; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",28.02.2022,24.04.2024
EUTOP International GmbH (EUTOP),R002289,15,485000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Sonstiges im Bereich ""Recht""; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Tourismus; Öffentlicher Dienst und öffentliche Verwaltung; Sonstiges im Bereich ""Staat und Verwaltung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",28.02.2022,24.04.2024
EUWAX AG,R004234,1,25000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Bildung und Erziehung""; EU- Gesetzgebung; Cybersicherheit; Sonstiges im Bereich ""Innere Sicherheit""; Digitalisierung; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Rente/Alterssicherung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Bank- und Finanzwesen; Wissenschaft, Forschung und Technologie",Unternehmen,19.04.2022,30.03.2023
EVVC e.V. - Europäischer Verband der Veranstaltungs-Centren e.V.,R000292,1,75000,2023-01-01,2023-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Sonstiges im Bereich ""Bildung und Erziehung""; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Diversitätspolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Bevölkerungsschutz und Katastrophenhilfe; Kultur; Kommunikations- und Informationstechnik; Meinungs- und Pressefreiheit; Öffentliche Finanzen, Steuern und Abgaben; Breitensport; Profisport; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Wirtschaft""; Veranstaltungswirtschaft",Wirtschaftsverband oder Gewerbeverband/-verein,04.02.2022,25.04.2024
EWE AG,R001058,15,485000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Digitalisierung; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Ländlicher Raum; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Klimaschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Wissenschaft, Forschung und Technologie",Unternehmen,23.02.2022,20.03.2023
EWE NETZ GmbH,R001660,5,205000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Kommunikations- und Informationstechnik; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,27.02.2023
EWE TEL GmbH,R002328,5,105000,2022-01-01,2022-12-01,Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik,Unternehmen,28.02.2022,10.01.2024
EWS Elektrizitätswerke Schönau eG,R001511,5,165000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""",Unternehmen,25.02.2022,05.10.2023
EY GmbH & Co. KG Wirtschaftsprüfungsgesellschaft,R001901,15,785000,2022-07-01,2023-06-01,"Außenwirtschaft; Öffentliche Finanzen, Steuern und Abgaben; Zivilrecht; Sonstiges im Bereich ""Recht""","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",28.02.2022,02.02.2024
Ecclesia Holding GmbH,R002466,1,155000,2023-01-01,2023-12-01,Versicherungswesen,Unternehmen,01.03.2022,01.03.2024
Eckiger Tisch e.V.,R005409,1,395000,2023-01-01,2023-12-01,"Kinder- und Jugendpolitik; Religion/Weltanschauung; Strafrecht; Zivilrecht; Unfallversicherung; Aufarbeitung sexuellen Kindesmissbrauchs im Kontext der katholischen Kirche, Entschädigung für die Opfer sexuellen Kindesmissbrauchs",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,29.10.2022,19.04.2024
Ecologic Institut,R004195,15,85000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Sonstiges im Bereich ""Bildung und Erziehung""; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Gesetzgebung; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesundheit""; Land- und Forstwirtschaft; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Digitalisierung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Sonstiges im Bereich ""Recht""; Sonstiges im Bereich ""Staat und Verwaltung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Personenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)",13.04.2022,11.07.2023
Ecosystem Value Association e.V.,R000229,1,65000,2023-01-01,2023-12-01,"Außenpolitik; Internationale Beziehungen; Allgemeine Energiepolitik; Entwicklungspolitik; EU-Gesetzgebung; Institutionelle Fragen der EU; Fischerei /Aquakultur; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Öffentliches Recht; Zivilrecht; Sonstiges im Bereich ""Recht""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Bank- und Finanzwesen; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,31.01.2022,22.04.2024
Edelman GmbH,R002108,5,345000,2021-07-01,2022-06-01,"Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Öffentliche Finanzen, Steuern und Abgaben; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Handel und Dienstleistungen; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""",Unternehmen,28.02.2022,23.11.2023
Edenred Deutschland GmbH,R002406,5,145000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Öffentliche Finanzen, Steuern und Abgaben",Unternehmen,01.03.2022,03.03.2023
Edwards Lifesciences GmbH,R002378,5,165000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,07.08.2023
EiiF - European Industrial Insulation Foundation,R005078,5,435000,2022-01-01,2022-12-01,"Berufliche Bildung; Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Klimaschutz; Industriepolitik; Wissenschaft, Forschung und Technologie","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",22.08.2022,08.06.2023
"Elly Heuss-Knapp-Stiftung, Deutsches Müttergenesungswerk",R004738,15,275000,2022-01-01,2022-12-01,Gesundheitsförderung,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",08.06.2022,26.06.2023
Emergent BioSolutions Inc.,R004231,15,585000,2022-01-01,2022-12-01,"Außenpolitik; Entwicklungspolitik; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Sonstiges im Bereich ""Gesundheit""; Bevölkerungsschutz und Katastrophenhilfe; Opferschutz; Terrorismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Handel und Dienstleistungen; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie; Öffentliche Gesundheit, CBRN Preparedness, Medizinische Gegenmaßnahmen Bevorratung, Zivil-militärische Zusammenarbeit",Unternehmen,19.04.2022,19.04.2023
EnBW Energie Baden-Württemberg AG,R002297,65,3085000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Öffentliche Finanzen, Steuern und Abgaben; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,09.04.2024
Energiedienst Holding AG,R004432,1,35000,2022-01-01,2022-12-01,"Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""",Unternehmen,04.05.2022,19.04.2023
Enpal B.V.,R005120,5,145000,2022-01-01,2022-12-01,Allgemeine Energiepolitik; Erneuerbare Energien,Unternehmen,02.09.2022,11.03.2024
Equinor Deutschland GmbH,R002402,5,115000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik; Wettbewerbsrecht",Unternehmen,01.03.2022,06.10.2023
Ericsson GmbH,R001102,5,145000,2022-01-01,2022-12-01,"Außenwirtschaft; EU-Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Urheberrecht; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,23.02.2022,28.06.2023
Ernährungsrat StadtRegion Stuttgart,R005100,5,115000,2022-01-01,2022-12-01,"Entwicklungspolitik; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",27.08.2022,22.09.2023
Essity Germany GmbH,R002642,5,145000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesundheit""",Unternehmen,02.03.2022,27.07.2023
EuroNatur - Stiftung Europäisches Naturerbe,R003279,15,15000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Erneuerbare Energien; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz /Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",10.03.2022,03.07.2023
EuroScan international network e. V.,R005301,1,55000,2022-01-01,2022-12-01,"Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Sonstiges im Bereich ""Staat und Verwaltung""; Wissenschaft, Forschung und Technologie",Privatrechtliche Organisation,05.10.2022,10.04.2024
Europaverband der Selbständigen - Deutschland (ESD) e.V.,R002827,5,215000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Sonstiges im Bereich ""Bundestag""; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Gesundheitsförderung; Kultur; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Urheberrecht; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Integration; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Zivilrecht; Sonstiges im Bereich ""Recht""; Krankenversicherung; Rente/Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""; Immissionsschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Handwerk; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,03.03.2022,19.03.2024
European Air Transport Leipzig GmbH,R001626,5,125000,2022-01-01,2022-12-01,Güterverkehr; Luft- und Raumfahrt,Unternehmen,25.02.2022,16.06.2023
European Commodity Clearing AG,R001055,5,245000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Öffentliche Finanzen, Steuern und Abgaben; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bank- und Finanzwesen; Wettbewerbsrecht",Unternehmen,23.02.2022,14.11.2023
European Energy Exchange AG,R001053,5,295000,2022-01-01,2022-12-01,"Internationale Beziehungen; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bank- und Finanzwesen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,23.02.2022,14.11.2023
European Justice Forum AISBL,R000046,5,385000,2022-01-01,2022-12-01,"EU-Gesetzgebung; Institutionelle Fragen der EU; Zivilrecht; Sonstiges im Bereich ""Recht""",Wirtschaftsverband oder Gewerbeverband/-verein,13.01.2022,04.09.2023
European Music Council,R003888,5,405000,2022-01-01,2022-12-01,Kultur,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",29.03.2022,09.05.2023
European Rolling Paper Association (ERPA e.V.),R001289,5,125000,2023-01-01,2023-12-01,"Parlamentarisches Verfahren; Allgemeine Energiepolitik; EU-Binnenmarkt; EU-Gesetzgebung; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesundheit""; Politisches Leben, Parteien; Öffentliches Recht; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht",Wirtschaftsverband oder Gewerbeverband/-verein,24.02.2022,19.02.2024
European X-Ray Free-Electron Laser Facility GmbH,R002183,15,45000,2023-01-01,2023-12-01,"Wissenschaft, Forschung und Technologie","Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)",28.02.2022,29.01.2024
European and International Federation for Family Employment and,R006027,5,145000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Menschenrechte; Berufliche Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Parlamentarisches Verfahren; EU-Gesetzgebung; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Öffentliche Finanzen, Steuern und Abgaben; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung",Berufsverband,05.06.2023,–
Europäische Bewegung Deutschland e.V.,R000751,5,285000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Europapolitik und Europäische Union""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",21.02.2022,12.07.2023
Europäische Vereinigung der Binnenschiffer e.V. - anerkannter,R005130,1,25000,2021-01-01,2021-12-01,"Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; EU-Binnenmarkt; Politisches Leben, Parteien; Öffentlicher Dienst und öffentliche Verwaltung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Schifffahrt; Kleine und mittlere Unternehmen; Verkehrsinfrastruktur; Verkehrspolitik; Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,05.09.2022,–
Evonik Industries AG,R002081,25,2425000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Arzneimittel; Fischerei/Aquakultur; Land- und Forstwirtschaft; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Öffentliches Recht; Zivilrecht; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Schienenverkehr; Schifffahrt; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,05.04.2023
Evonik Operations GmbH,R002087,15,145000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Arzneimittel; Fischerei/Aquakultur; Land- und Forstwirtschaft; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Öffentliches Recht; Zivilrecht; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Schienenverkehr; Schifffahrt; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,19.06.2023
Exit Plastik,R006522,1,25000,2022-03-01,2023-02-01,"Parlamentarisches Verfahren; EU-Gesetzgebung; Sonstiges im Bereich ""Gesundheit""; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",26.02.2024,–
"Expedia, Inc.",R001790,5,125000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Diversitätspolitik; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Werbung; Öffentliche Finanzen, Steuern und Abgaben; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Tourismus; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Verkehrsinfrastruktur; E-Commerce; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht",Unternehmen,25.02.2022,01.06.2023
Exposure- und Dialogprogramme e.V.,R001435,5,485000,2022-01-01,2022-12-01,Entwicklungspolitik,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",24.02.2022,08.08.2023
ExxonMobil Central Europe Holding,R001740,5,555000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Erneuerbare Energien; Fossile Energien; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,27.02.2023
FGK - Fachverband Gebäude-Klima e. V.,R000748,5,235000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Gesundheit""; Digitalisierung; Bauwesen und Bauwirtschaft; Sonstiges im Bereich ""Recht""; Klimaschutz; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,21.02.2022,20.07.2023
