Name,RegNr,Ersteintrag,LetzteÄnd,Tätigkeit,Interessen,FinanzAufw,Betrag,Geschäftsjahr,VollzeitEquiv,Regelungen,Stellungnahmen,GrundVerweig,Beschäftigte,Auftraggeber
SVDiPA-Allianz,R002820,03.03.2022,07.03.2023,Sonstige Organisation,Pflege; Digitalisierung,,0 Euro,01/22 bis 12/22,,,,,0,
Deutsche Gesellschaft für Luft-und Raumfahrt - Lilienthal-Oberth e.V.,R002819,03.03.2022,03.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,0,
Deutsch-Algerische Industrie- und Handelskammer (AHK Algerien),R002818,03.03.2022,25.06.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Berufliche Bildung; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Sonstiges im Bereich ""Recht""; Automobilwirtschaft; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,21 bis 30,
Wirtschaftsvereinigung Deutsches Lammfleisch e. V.,R002817,03.03.2022,07.03.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Land- und Forstwirtschaft,,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
"AOPA-Germany, Verband der Allgemeinen Luftfahrt e. V.",R002816,03.03.2022,10.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Luft- und Raumfahrt; Verkehrsinfrastruktur; Verkehrspolitik; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
H2 MOBILITY Deutschland GmbH & Co. KG,R002815,03.03.2022,24.04.2024,Unternehmen,Allgemeine Energiepolitik; Güterverkehr; Personenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Industriepolitik,,60.001 bis 70.000 Euro,01/23 bis 12/23,0.85,,,,,
Vereinigung Deutscher Landesschafzuchtverbände e. V.,R002814,03.03.2022,07.03.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Land- und Forstwirtschaft,,50.001 bis 60.000 Euro,01/22 bis 12/22,,2,1,,1 bis 10,
Beratung 42.0 GmbH,R002813,03.03.2022,20.07.2023,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Arbeitsmarkt; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Breitensport; Profisport; Staatsorganisation; Industriepolitik; Kleine und mittlere Unternehmen",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Teneo Germany,R002812,03.03.2022,26.04.2024,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Außenwirtschaft; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Arzneimittel; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Sonstiges im Bereich ""Innere Sicherheit""; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Stadtentwicklung; Wohnen; Krankenversicherung; Rente/Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
Ulrich Opherk,R002811,03.03.2022,28.02.2023,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",Parlamentarisches Verfahren; Allgemeine Energiepolitik; Erneuerbare Energien; Arzneimittel; Gesundheitsversorgung; Lebens- und Genussmittelindustrie,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,,,,,1 bis 10,17
SOLWODI Baden-Württemberg e.V.,R002810,03.03.2022,14.03.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Geschlechterpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Sonstiges im Bereich ""Gesundheit""; Sonstiges im Bereich ""Recht""; Sonstiges im Bereich ""Soziale Sicherung""",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,1
Bundesverband Keramische Fliesen e.V.,R002809,03.03.2022,11.04.2024,Wirtschaftsverband oder Gewerbeverband/-verein,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Öffentliches Recht; Zivilrecht; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,90.001 bis 100.000 Euro,01/22 bis 12/22,0.50,,,,,
ESJF Gemeinnützige Gesellschaft zum Schutz und zur Erhaltung,R002808,03.03.2022,18.10.2023,Unternehmen,Auswärtige Kultur- und Bildungspolitik; Religion /Weltanschauung,,140.001 bis 150.000 Euro,01/22 bis 12/22,,1,,,1 bis 10,
HOCHTIEF PPP Solutions GmbH,R002807,03.03.2022,25.07.2023,Unternehmen,"Bauwesen und Bauwirtschaft; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""",,70.001 bis 80.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundesverband professioneller Bildanbieter e. V. (BVPA),R002806,03.03.2022,25.04.2024,Berufsverband,"EU-Gesetzgebung; Kultur; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Urheberrecht; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Zivilrecht; E-Commerce; Kleine und mittlere Unternehmen; Wettbewerbsrecht",,10.001 bis 20.000 Euro,01/23 bis 12/23,10.00,,,,,
Zentralverband Gartenbau e.V.,R002805,03.03.2022,19.03.2024,Wirtschaftsverband oder Gewerbeverband/-verein,"Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""",,490.001 bis 500.000 Euro,01/22 bis 12/22,,1,1,,1 bis 10,
YARA Brunsbüttel GmbH,R002804,03.03.2022,03.03.2023,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Arbeitslosenversicherung; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Unfallversicherung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bündnis Ausstieg aus dem Tierversuch,R002803,03.03.2022,03.03.2023,Sonstige Organisation,"Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Arzneimittel; Gesundheitsförderung; Tierschutz; Wissenschaft, Forschung und Technologie; Tierversuche",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Deutscher Automaten-Großhandels-Verband e.V.,R002802,03.03.2022,19.09.2022,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; EU-Binnenmarkt; EU-Gesetzgebung; Familienpolitik; Kinder- und Jugendpolitik; Gesundheitsförderung; Sonstiges im Bereich ""Gesundheit""; Kriminalitätsbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Kultur; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Strafrecht; Zivilrecht; Sonstiges im Bereich ""Recht""; Breitensport; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Immissionsschutz; Bank- und Finanzwesen; E- Commerce; Handel und Dienstleistungen; Handwerk; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,30.001 bis 40.000 Euro,01/21 bis 12/21,,,,,1 bis 10,
Arbeitsgemeinschaft Therapie Seltene Erkrankungen (ATSE),R002801,03.03.2022,13.02.2024,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Arzneimittel; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,110.001 bis 120.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Fürstenberg Institut GmbH,R002800,03.03.2022,27.02.2024,Unternehmen,Gesundheitsförderung; Gesundheitsversorgung,,1 bis 10.000 Euro,01/23 bis 12/23,,,,,1 bis 10,8
FORUM der Automatenunternehmer e.V.,R002799,03.03.2022,17.06.2022,Berufsverband,"Sonstiges im Bereich ""Gesundheit""; Öffentliche Finanzen, Steuern und Abgaben; Öffentliches Recht; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""; .",,20.001 bis 30.000 Euro,01/21 bis 12/21,,,,,1 bis 10,
Lohmann & Rauscher GmbH & Co. KG,R002798,03.03.2022,03.03.2023,Unternehmen,"Parlamentarisches Verfahren; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Rechtspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Landesinnungsverband des Schornsteinfegerhandwerks Brandenburg,R002797,03.03.2022,24.04.2024,Berufsverband,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Immissionsschutz; Klimaschutz",,0 Euro,01/23 bis 12/23,0.00,,,,,
"VIW-Verband für interkulturelle Wohlfahrtspflege, Empowerrment",R002796,03.03.2022,15.03.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Parlamentarisches Verfahren; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Pflege; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Politisches Leben, Parteien; Grundsicherung; Pflegeversicherung; Rente/Alterssicherung; Öffentlicher Dienst und öffentliche Verwaltung",,0 Euro,01/22 bis 12/22,,0,,,1 bis 10,
"Verband alleinerziehender Mütter und Väter e.V., Bundesverband",R002795,03.03.2022,03.04.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Arbeitsrecht/Arbeitsbedingungen; Schulische Bildung; Vorschulische Bildung; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Rechtspolitik; Zivilrecht; Grundsicherung; Krankenversicherung; Rente/Alterssicherung",,60.001 bis 70.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Berlin Research 50 (BR50),R002794,03.03.2022,19.07.2023,Sonstige Organisation,"Wissenschaft, Forschung und Technologie",Angabe verweigert,,,,,,Berlin Research 50 e. V. kann derzeit noch keine Angaben zu jährlichen finanziellen Aufwendungen machen.,1 bis 10,
Bund Deutscher Amateurtheater,R002793,03.03.2022,30.06.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Sonstiges im Bereich ""Bildung und Erziehung""; Kultur",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
ArianeGroup GmbH,R002792,03.03.2022,05.03.2024,Unternehmen,"Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Sonstiges im Bereich ""Wirtschaft""",,580.001 bis 590.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bund der Selbständigen Rheinland-Pfalz & Saarland e.V.,R002791,03.03.2022,24.11.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Kultur; Land- und Forstwirtschaft; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Öffentliches Recht; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Rente /Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""; Tourismus; Sonstiges im Bereich ""Staat und Verwaltung""; Klimaschutz; Güterverkehr; Personenverkehr; Straßenverkehr; Verkehrspolitik; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Angabe verweigert,,,,,,Abschluss des letzten Geschäftsjahres liegt noch nicht vor.,1 bis 10,
Verband der Vereine Creditreform e.V.,R002790,03.03.2022,15.05.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"EU-Gesetzgebung; Cybersicherheit; Kriminalitätsbekämpfung; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliches Recht; Rechtspolitik; Strafrecht; Zivilrecht; Sonstiges im Bereich ""Recht""; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",,80.001 bis 90.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bund der Selbständigen/Gewerbeverband Deutschland e.V.,R002789,03.03.2022,26.06.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Kultur; Fischerei/Aquakultur; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Massenmedien; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Rechtspolitik; Sonstiges im Bereich ""Recht""; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Rente /Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Tourismus; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Klimaschutz; Güterverkehr; Personenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Kleine und mittlere Unternehmen; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",Angabe verweigert,,,,,,Das letzte Geschäftsjahr wurde noch nicht abgeschlossen.,1 bis 10,
CANCOM Public GmbH,R002788,03.03.2022,28.11.2023,Berufsverband,Digitalisierung,,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
terranets bw GmbH,R002787,03.03.2022,12.12.2023,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Klimaschutz; Sonstiges im Bereich ""Wirtschaft""",,70.001 bis 80.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundesverband Metall - Vereinigung deutscher Metallhandwerke,R002786,03.03.2022,19.07.2023,Berufsverband,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Berufliche Bildung; Allgemeine Energiepolitik; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Sonstiges im Bereich ""Recht""; Unfallversicherung; Handwerk; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
MVV Energie AG,R002785,03.03.2022,26.04.2024,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Stadtentwicklung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Personenverkehr; Verkehrspolitik; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,460.001 bis 470.000 Euro,10/22 bis 09/23,2.25,,,,,
100 prozent erneuerbar stiftung,R002784,03.03.2022,28.03.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Ländlicher Raum; Klimaschutz",,90.001 bis 100.000 Euro,01/23 bis 12/23,1.00,6,1,,,
Landesvereinigung der Unternehmensverbände Nordrhein-Westfalen,R002783,03.03.2022,10.07.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Allgemeine Energiepolitik; EU-Binnenmarkt; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Rechtspolitik; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Staat und Verwaltung""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,130.001 bis 140.000 Euro,01/22 bis 12/22,,1,,,11 bis 20,
Linde GmbH,R002782,03.03.2022,11.01.2024,Unternehmen,"Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Arzneimittel; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Industriepolitik; Wissenschaft, Forschung und Technologie",,300.001 bis 310.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundestierärztekammer e.V. - Arbeitsgemeinschaft der Deutschen,R002781,03.03.2022,12.12.2023,Berufsverband,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Hochschulbildung; Parlamentarisches Verfahren; EU-Gesetzgebung; Arzneimittel; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Werbung; Öffentliches Recht; Rechtspolitik; Sonstiges im Bereich ""Recht""; Öffentlicher Dienst und öffentliche Verwaltung; Artenschutz/Biodiversität; Tierschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Asklepios Südpfalzklinken GmbH; Burglengenfeld,R002780,03.03.2022,22.08.2023,Unternehmen,"Gesundheitsversorgung; Pflege; Arbeitsmarkt, Arbeitsrecht /Arbeitsbedingunge, Sinstiges im Bereich ""Arbeit und Beschäftigung"", Gesundheitsversorgung, Pflege, Krankenversicheurng",Angabe verweigert,,,,,,,1 bis 10,
"Katholisches Forum ""Leben in der Illegalität""",R002779,03.03.2022,09.03.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",Ausländer- und Aufenthaltsrecht; Migration,,30.001 bis 40.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Foundations Platform F20,R002778,03.03.2022,03.04.2024,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Erneuerbare Energien; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; G20",,370.001 bis 380.000 Euro,01/23 bis 12/23,,,,,1 bis 10,
Verbraucherzentrale Hamburg e.V.,R002777,03.03.2022,11.03.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Arzneimittel; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Krankenversicherung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Verbraucherschutz",,0 Euro,01/22 bis 12/22,0.00,,,,,
Netzwerk Chancen NC gGmbH,R002776,03.03.2022,04.09.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Diversitätspolitik; Familienpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Öffentliche Finanzen, Steuern und Abgaben; Sonstiges im Bereich ""Soziale Sicherung""",,1 bis 10.000 Euro,01/22 bis 12/22,,0,,,1 bis 10,
Bundesverband Landwirtschaftlicher Fachbildung e.V. (vlf),R002775,03.03.2022,09.10.2023,Berufsverband,"Berufliche Bildung; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
AJA Arbeitskreis gemeinnütziger Jugendaustausch,R002774,03.03.2022,01.08.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Auswärtige Kultur- und Bildungspolitik; Berufliche Bildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Bundestag""; Diversitätspolitik; Familienpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Extremismusbekämpfung; Politisches Leben, Parteien; Wissenschaft, Forschung und Technologie; interkulturelle Bildung",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Republic Affairs®,R002773,03.03.2022,29.02.2024,Unternehmen,"Arbeitsmarkt; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Berufliche Bildung; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Entwicklungspolitik; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Land- und Forstwirtschaft; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Ausländer- und Aufenthaltsrecht; Integration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Wohnen; Tourismus; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Rüstungsangelegenheiten; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Sonstiges im Bereich ""Wirtschaft""",,200.001 bis 210.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
